title,box_off_num
용서는 없다,1790147.256421329
아빠가 여자를 좋아해,1088785.8531941934
하모니,1533315.1116330517
의형제,1326804.7587634574
평행 이론,1282833.4771425156
회오리 바람,100828.193150167
경계도시 2,285575.8303998281
이웃집 남자,361371.46807632106
아마존의 눈물 극장판,165259.46672445445
반가운 살인자,639666.443782857
집 나온 남자들,1028739.0348411591
베스트셀러,1067243.6613943668
작은 연못,220859.15148233046
경,214404.82210489595
대한민국 1%,414138.6138035616
포화 속으로,1581198.3353490457
나쁜 놈이 더 잘 잔다,153665.55997951335
맨발의 꿈,645545.9831462078
요술,95702.87617940083
마법천자문: 대마왕의 부활을 막아라,193626.03245265517
인플루언스,113474.6097319847
미스터 좀비,168016.1762805013
김복남 살인사건의 전말,1545255.397122831
엄지아빠,227110.24219838568
탈주,242849.53076057712
해결사,607528.2370891753
할,156269.96851282803
된장,477205.37028948666
조금만 더 가까이,571497.0795999314
우리 만난 적 있나요,261226.1013625362
쩨쩨한 로맨스,1337578.5594374074
용서,176957.9935261562
브라보! 재즈 라이프,240748.34964478336
카페 느와르,1899041.9010747415
오래된 인력거,134902.3439528785
창피해,764904.3449984519
"양 한 마리, 양 두 마리",296289.96577092184
하얀 정글,122805.84858838128
다슬이,228694.83441957817
REC 알이씨,102034.92501226327
량강도 아이들,109938.4758160587
티끌모아 로맨스,706002.4675012961
더 킥,264114.59319152613
커플즈,1069443.369766851
오늘,1204561.8541737937
완득이,564266.9623012273
은어,179129.08739740693
고래를 찾는 자전거,236203.03733921252
도가니,2782553.2790461625
겨울냄새,134127.17044267638
환타스틱 모던가야그머,178869.495039116
블라인드,1172097.6955897976
링크,332417.5489639846
퀵,1474768.0877091556
모비딕,426158.2171012599
굿바이 보이,1052959.497997939
종로의 기적,667136.7550558542
회초리,302310.931996997
체포왕,1538500.0976345516
세상에서 가장 아름다운 이별,2146398.1055989414
나는 아빠다,197528.18115763005
수상한 고객들,1574010.7163158485
수상한 이웃들,264012.52114923927
돌아오는 길,121387.56370750866
우리 이웃의 범죄,186083.70375553655
엄마는 창녀다,100828.193150167
위험한 상견례,1788523.2107720654
간증,142107.77819701243
"사랑한다, 사랑하지 않는다",328570.08988171053
"혜화, 동",176458.27242870012
글러브,1899041.9010747415
가문의 귀환,297664.3056134012
잔혹한 앵글의 로망스,133493.56600519357
나의 PS 파트너,706002.4675012961
롤플레이,471364.06934887695
마티나,159418.03044281912
음치 클리닉,2911694.599004091
남영동1985,222124.96535022315
돈 크라이 마미,179301.73508744416
반드시 크게 들을 것 2 : Wild Days,152885.87301083177
범죄소년,176458.27242870012
내가 살인범이다,1915658.7853250876
터치,153743.4019608306
늑대소년,1300666.1439365025
맥코리아,111518.45997570195
용의자X,1544816.605984804
하나안,202592.5209676119
투 올드 힙합 키드,202030.64736093482
한경직,209268.02330158275
미운오리새끼,234080.842904627
황제펭귄 펭이와 솜이,111518.45997570195
두 개의 문,308986.1218005271
I AM,351067.81945823197
후궁 : 제왕의 첩,1484305.2402142
"안녕, 하세요!",326251.176990601
