title,box_off_num
용서는 없다,2146943.392571828
아빠가 여자를 좋아해,1048735.0492658077
하모니,1602293.5440267583
의형제,1149843.028112358
평행 이론,798478.3837933085
회오리 바람,126355.08528653528
경계도시 2,315769.9412918945
이웃집 남자,329848.35690356273
아마존의 눈물 극장판,146660.80675539895
반가운 살인자,673368.2127043082
집 나온 남자들,730785.2689682335
베스트셀러,1042396.7730752712
작은 연못,375124.6400780451
경,219846.23599880567
대한민국 1%,377230.6886591518
포화 속으로,2139475.570253527
나쁜 놈이 더 잘 잔다,338002.8754734424
맨발의 꿈,992250.8919153872
요술,126468.46299641338
마법천자문: 대마왕의 부활을 막아라,189802.69114479813
인플루언스,129544.44752036412
미스터 좀비,312185.1750631685
김복남 살인사건의 전말,1112470.88509688
엄지아빠,763001.9786125227
탈주,588025.7257776868
해결사,876900.9348437907
할,146319.9881286685
된장,492805.78386594786
조금만 더 가까이,474241.2020464698
우리 만난 적 있나요,245274.62766830344
쩨쩨한 로맨스,1250533.0341506454
용서,173720.20480235602
브라보! 재즈 라이프,292236.7285003852
카페 느와르,2192965.0636191834
오래된 인력거,142237.91175732887
창피해,739037.5431706437
"양 한 마리, 양 두 마리",307581.2345501439
하얀 정글,137415.90396224585
다슬이,227601.68275413438
REC 알이씨,126469.21691202097
량강도 아이들,213088.27238722675
티끌모아 로맨스,616999.8285003885
더 킥,467261.4440277823
커플즈,1209295.5512468442
오늘,1268854.613938418
완득이,1305574.8989671515
은어,214728.49909692473
고래를 찾는 자전거,238027.22955248156
도가니,2698801.7983482415
겨울냄새,129438.58665205832
환타스틱 모던가야그머,198874.01864814013
블라인드,811854.8210684399
링크,305236.55787376943
퀵,908540.5162309089
모비딕,545909.4550698072
굿바이 보이,946151.9394848874
종로의 기적,655796.7649981721
회초리,445117.1241562549
체포왕,1324716.367694516
세상에서 가장 아름다운 이별,2163533.697684071
나는 아빠다,332788.3918270257
수상한 고객들,2130006.0361724356
수상한 이웃들,342191.75363483117
돌아오는 길,197753.32316707377
우리 이웃의 범죄,365232.86301494815
엄마는 창녀다,128698.35402158144
위험한 상견례,2201956.8070256775
간증,301437.7430963244
"사랑한다, 사랑하지 않는다",403615.13610316266
"혜화, 동",460276.80043300416
글러브,2192965.0636191834
가문의 귀환,467261.4440277823
잔혹한 앵글의 로망스,158838.32427225506
나의 PS 파트너,616999.8285003885
롤플레이,747098.6085790524
마티나,174899.15783121323
음치 클리닉,2698801.7983482415
남영동1985,323075.71120675583
돈 크라이 마미,363387.50674904196
반드시 크게 들을 것 2 : Wild Days,154983.88679719105
범죄소년,460276.80043300416
