title,box_off_num
용서는 없다,3577762.9961493546
아빠가 여자를 좋아해,1130636.2650011303
하모니,835494.2873761648
의형제,1271721.9814146638
평행 이론,764444.3069831571
회오리 바람,40527.837407468454
경계도시 2,39257.68309953257
이웃집 남자,119201.12282500064
아마존의 눈물 극장판,45266.24387675436
반가운 살인자,1413354.608913622
집 나온 남자들,466657.0045098788
베스트셀러,2338707.9648082615
작은 연못,1063988.4557849853
경,152257.73278270988
대한민국 1%,646568.3260221623
포화 속으로,3522435.5414529145
나쁜 놈이 더 잘 잔다,30417.083630802565
맨발의 꿈,3527773.625300429
요술,294664.13696660934
마법천자문: 대마왕의 부활을 막아라,405181.63588654005
인플루언스,33156.93651280452
미스터 좀비,49095.012548016784
김복남 살인사건의 전말,909694.1676320223
엄지아빠,123190.078150786
탈주,-2090.1291406883715
해결사,506291.31214897556
할,206600.89242956563
된장,1352278.3944617559
조금만 더 가까이,469209.8639719298
우리 만난 적 있나요,128603.3911149643
쩨쩨한 로맨스,3527773.625300429
용서,101740.48969496132
브라보! 재즈 라이프,507499.9208837956
카페 느와르,2227922.702467633
오래된 인력거,89151.80408101868
창피해,340565.16589920956
"양 한 마리, 양 두 마리",166251.62920889587
하얀 정글,87945.2319800283
다슬이,131565.1112978009
REC 알이씨,10793.099896691598
량강도 아이들,471366.0061157996
티끌모아 로맨스,-10405.320919574391
더 킥,105875.49122806646
커플즈,869012.7327390423
오늘,896877.3505344319
완득이,497952.1992105016
은어,112536.97319307478
고래를 찾는 자전거,157294.81635001057
도가니,837673.8961655196
겨울냄새,72081.85369455934
환타스틱 모던가야그머,199557.65829153557
블라인드,373487.9034946321
링크,245993.72696283832
퀵,1308485.235859689
모비딕,1063207.2581286589
굿바이 보이,883853.7189538309
종로의 기적,310919.5486402277
회초리,826766.504722568
체포왕,1209574.8662430802
세상에서 가장 아름다운 이별,4164319.043001263
나는 아빠다,489011.15538651275
수상한 고객들,3582906.583051036
수상한 이웃들,508591.15744210535
돌아오는 길,-74496.76853359141
우리 이웃의 범죄,128991.26456646617
엄마는 창녀다,28530.03712719438
위험한 상견례,2178694.825846844
간증,12749.20502972572
"사랑한다, 사랑하지 않는다",272182.3779566482
"혜화, 동",274790.7639203047
글러브,3590953.260680557
가문의 귀환,878857.6149014551
잔혹한 앵글의 로망스,-13179.42259112163
나의 PS 파트너,1394226.9824195155
